timestamp,title,process,pid
2025-10-04 14:32:41,collector_to_csv.py - HACKATON - Visual Studio Code,,0
2025-10-04 14:32:49,events.csv - HACKATON - Visual Studio Code,,0
2025-10-04 14:33:17,windows.csv - HACKATON - Visual Studio Code,,0
2025-10-04 14:33:20,Przełączanie zadań,,0
2025-10-04 14:33:21,● dirs.py - meteopy - Visual Studio Code,,0
2025-10-04 14:33:22,windows.csv - HACKATON - Visual Studio Code,,0
2025-10-04 14:33:27,● dirs.py - meteopy - Visual Studio Code,,0
2025-10-04 14:33:28,windows.csv - HACKATON - Visual Studio Code,,0
2025-10-04 14:33:43,Przełączanie zadań,,0
2025-10-04 14:33:44,,,0
2025-10-04 14:33:45,windows.csv - HACKATON - Visual Studio Code,,0
2025-10-04 14:33:47,Przełączanie zadań,,0
2025-10-04 14:33:50,windows.csv - HACKATON - Visual Studio Code,,0
2025-10-04 14:33:56,● dirs.py - meteopy - Visual Studio Code,,0
2025-10-04 14:33:57,windows.csv - HACKATON - Visual Studio Code,,0
2025-10-04 14:34:09,,,0
2025-10-04 14:34:10,JSON data file management - Claude – Opera,,0
2025-10-04 14:34:12,AntoniTrzebuniak/Hackaton – Opera,,0
2025-10-04 14:34:15,Editing Hackaton/README.md at main · AntoniTrzebuniak/Hackaton – Opera,,0
2025-10-04 14:34:36,Hackaton/README.md at main · AntoniTrzebuniak/Hackaton – Opera,,0
2025-10-04 14:34:56,windows.csv - HACKATON - Visual Studio Code,,0
2025-10-04 14:34:59,Hackaton/README.md at main · AntoniTrzebuniak/Hackaton – Opera,,0
2025-10-04 14:35:00,TensorFlow – Opera,,0
2025-10-04 14:35:02,windows.csv - HACKATON - Visual Studio Code,,0
2025-10-04 14:35:05,TensorFlow – Opera,,0
2025-10-04 14:35:06,windows.csv - HACKATON - Visual Studio Code,,0
2025-10-04 14:35:14,pandas.to_datetime — pandas 2.3.3 documentation – Opera,,0
2025-10-04 14:35:16,Przełączanie zadań,,0
2025-10-04 14:35:17,windows.csv - HACKATON - Visual Studio Code,,0
2025-10-04 14:35:22,browser_history.csv - HACKATON - Visual Studio Code,,0
2025-10-04 14:35:32,Przełączanie zadań,,0
2025-10-04 14:35:33,browser_history.csv - HACKATON - Visual Studio Code,,0
2025-10-04 14:35:39,collector_to_csv.py - HACKATON - Visual Studio Code,,0
2025-10-04 14:53:13,collector_to_csv.py - HACKATON - Visual Studio Code,,0
2025-10-04 14:53:18,● collector_to_csv.py - HACKATON - Visual Studio Code,,0
2025-10-04 14:53:31,windows.csv - HACKATON - Visual Studio Code,,0
2025-10-04 14:53:33,events.csv - HACKATON - Visual Studio Code,,0
2025-10-04 14:53:44,HACKATON — Eksplorator plików,,0
2025-10-04 14:53:45,Przełączanie zadań,,0
2025-10-04 14:53:46,HTML Forms – Opera,,0
2025-10-04 14:53:47,Szybkie wybieranie – Opera,,0
2025-10-04 14:53:48,HACKATON — Eksplorator plików,,0
